simulation_id,team,points
3,St. Teresa's Academy,145
3,Summit Christian Academy,0
3,Timberland,24
3,Ursuline Academy,52
3,Villa Duchesne,142
3,Visitation Academy,147
3,Warrensburg,0
3,Washington,0
3,Webb City,10
3,Webster Groves,162
3,West Plains,17
4,Battle,0
4,Belton,0
4,Bolivar,0
4,Camdenton,0
4,Capital City,19
4,Carl Junction,9
4,Central (Cape Girardeau),55
4,Central (Springfield),0
4,Clayton,82
4,Father Tolton,147
4,Ft. Zumwalt East,16
4,Ft. Zumwalt South,6
4,Glendale,29
4,Grain Valley,74
4,Grandview,0
4,Greenwood,15
4,Hannibal,1
4,Hillcrest,0
4,Holt,0
4,Incarnate Word Academy,4
4,Jefferson City,0
4,John Burroughs,109
4,Kearney,38
4,Ladue Horton Watkins,47
4,Lebanon,27
4,Lincoln College Prep,0
4,Logan-Rogersville,0
4,Louisiana,96
4,Lutheran South,32
4,Lutheran St. Charles,2
4,Mehlville,35
4,Monett,21
4,Nerinx Hall,62
4,Nevada,13
4,New Covenant Academy,0
4,Notre Dame (Cape Girardeau),0
4,Notre Dame (St. Louis),0
4,Notre Dame de Sion,56
4,Parkway Central,230
4,Parkway North,6
4,Parkway West,94
4,Platte County,9
4,Poplar Bluff,4
4,Principia,4
4,Rockwood Summit,101
4,STEAM Academy,0
4,Savannah,4
4,Smithville,0
4,St. Charles West,0
4,St. Dominic,0
4,St. Michael the Archangel,42
4,St. Pius X (Kansas City),0
4,St. Teresa's Academy,142
4,Summit Christian Academy,0
4,Timberland,25
4,Ursuline Academy,46
4,Villa Duchesne,126
4,Visitation Academy,155
4,Warrensburg,0
4,Washington,0
4,Webb City,17
4,Webster Groves,152
4,West Plains,18
5,Battle,0
5,Belton,0
5,Bolivar,0
5,Camdenton,0
5,Capital City,16
5,Carl Junction,8
5,Central (Cape Girardeau),63
5,Central (Springfield),6
5,Clayton,63
5,Father Tolton,111
5,Ft. Zumwalt East,10
5,Ft. Zumwalt South,12
5,Glendale,19
5,Grain Valley,114
5,Grandview,1
5,Greenwood,12
5,Hannibal,0
5,Hillcrest,0
5,Holt,0
5,Incarnate Word Academy,1
5,Jefferson City,0
5,John Burroughs,106
5,Kearney,50
5,Ladue Horton Watkins,59
5,Lebanon,42
5,Lincoln College Prep,0
