simulation_id,team,points
3,Parkway Central,224
3,Parkway North,0
3,Parkway West,90
3,Platte County,1
3,Poplar Bluff,0
3,Principia,20
3,Rockwood Summit,64
3,STEAM Academy,0
3,Savannah,2
3,Smith-Cotton,0
3,Smithville,0
3,St. Charles West,0
3,St. Dominic,0
3,St. Michael the,75
3,St. Pius X Kansa,0
3,St. Teresa's Aca,129
3,St. Teresa's Academy,15
3,Summit Christian,4
3,Timberland,22
3,Ursuline Academy,81
3,Villa Duchesne,145
3,Visitation Acade,141
3,Visitation Academy,26
3,Washington,0
3,Webb City,8
3,Webster Groves,142
3,West Plains,18
4,Barstow,0
4,Bolivar,0
4,Capital City,16
4,Carl Junction,41
4,Central (Cape Girardeau),0
4,Central (Springf,3
4,Central (Springfield),17
4,Central Cape Gir,45
4,Clayton,97
4,Father Tolton,126
4,Ft. Zumwalt East,9
4,Ft. Zumwalt Sout,11
4,Glendale,39
4,Grain Valley,55
4,Grandview,0
4,Greenwood,9
4,Hannibal,3
4,Holt,0
4,Incarnate Word A,11
4,Jefferson City,0
4,John Burroughs,124
4,Kearney,29
4,Ladue Horton Wat,58
4,Ladue Horton Watkins,6
4,Lebanon,37
4,Lincoln College,5
4,Lincoln College Prep,7
4,Logan-Rogersvill,0
4,Louisiana,79
4,Lutheran South,36
4,Lutheran St. Cha,0
4,Lutheran St. Charles,5
4,Mehlville,32
4,Monett,19
4,Nerinx Hall,92
4,Nevada,11
4,North Point,0
4,Notre Dame Cape,0
4,Notre Dame de Si,61
4,Notre Dame de Sion,40
4,Parkway Central,208
4,Parkway North,3
4,Parkway West,80
4,Platte County,0
4,Poplar Bluff,0
4,Principia,15
4,Rockwood Summit,89
4,STEAM Academy,0
4,Savannah,1
4,Smith-Cotton,0
4,Smithville,0
4,St. Charles West,0
4,St. Dominic,0
4,St. Michael the,83
4,St. Pius X Kansa,0
4,St. Teresa's Aca,135
4,St. Teresa's Academy,22
4,Summit Christian,0
4,Timberland,23
4,Ursuline Academy,54
4,Villa Duchesne,141
4,Visitation Acade,157
4,Visitation Academy,28
4,Washington,0
4,Webb City,2
4,Webster Groves,141
4,West Plains,20
5,Barstow,0
5,Bolivar,0
5,Capital City,16
5,Carl Junction,9
5,Central (Cape Girardeau),0
5,Central (Springf,0
5,Central (Springfield),17
5,Central Cape Gir,59
5,Clayton,76
5,Father Tolton,148
5,Ft. Zumwalt East,12
5,Ft. Zumwalt Sout,18
5,Glendale,47
5,Grain Valley,67
5,Grandview,0
5,Greenwood,7
5,Hannibal,6
5,Holt,0
5,Incarnate Word A,0
5,Jefferson City,0
5,John Burroughs,101
5,Kearney,31
5,Ladue Horton Wat,39
5,Ladue Horton Watkins,6
5,Lebanon,45
5,Lincoln College,9
5,Lincoln College Prep,5
5,Logan-Rogersvill,0
5,Louisiana,48
5,Lutheran South,37
5,Lutheran St. Cha,5
5,Lutheran St. Charles,9
5,Mehlville,32
5,Monett,21
5,Nerinx Hall,85
5,Nevada,7
5,North Point,0
5,Notre Dame Cape,0
5,Notre Dame de Si,78
5,Notre Dame de Sion,40
5,Parkway Central,239
5,Parkway North,0
5,Parkway West,102
5,Platte County,3
5,Poplar Bluff,0
5,Principia,19
5,Rockwood Summit,87
5,STEAM Academy,0
5,Savannah,0
5,Smith-Cotton,0
5,Smithville,0
5,St. Charles West,0
5,St. Dominic,0
5,St. Michael the,77
5,St. Pius X Kansa,0
5,St. Teresa's Aca,154
5,St. Teresa's Academy,23
5,Summit Christian,0
5,Timberland,25
5,Ursuline Academy,47
